H_bin    , Gene , Feature       , Region    , Orientation, Step, Pearson_r            , P_value                , CI_low                , CI_high               , N_windows, Sliding_file                                                      , P_Bonferroni           , Reject_Bonferroni, P_Holm                 , Reject_Holm, P_FDR_BH               , Reject_FDR_BH
0.50-0.56, ASH1L, REG_ALL       , winTrim500, genomic    ,   10, 0.23987721004749998  , 2.464324904813505e-285 , 0.2273809123227591    , 0.25229451899263916   ,     21990, sliding_ASH1L_REG_ALL_win10k_step10_winTrim500_genomic.csv        , 8.280131680173377e-283 , True             , 6.481174499659519e-283 , True       , 1.1189367135369428e-284, True
0.50-0.56, ASH1L, REG_ALL       , winTrim500, reversed   ,   10, -0.20755651435231948 , 1.4501930115442277e-212, -0.22016972937155277  , -0.19487390483803022  ,     21990, sliding_ASH1L_REG_ALL_win10k_step10_winTrim500_reversed.csv       , 4.872648518788605e-210 , True             , 3.494965157821589e-210 , True       , 5.075675540404797e-212 , True
0.50-0.56, NSD1 , CTCF          , full      , genomic    ,   10, 0.1535120985879684   , 3.491514846914936e-85  , 0.13836647911561772   , 0.16858593194600976   ,     16043, sliding_NSD1_CTCF_win10k_step10_full_genomic.csv                  , 1.1731489885634185e-82 , True             , 6.1101509821011385e-83 , True       , 7.241660423230978e-85  , True
0.50-0.56, NSD1 , CTCF          , full      , reversed   ,   10, 0.38686511043888766  , 0.0                    , 0.3736275121589129    , 0.39994515891790905   ,     16043, sliding_NSD1_CTCF_win10k_step10_full_reversed.csv                 , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , CTCF          , winTrim500, genomic    ,   10, 0.1377807310610723   , 7.915810138302677e-69  , 0.12256774488317598   , 0.15292898520771148   ,     16043, sliding_NSD1_CTCF_win10k_step10_winTrim500_genomic.csv            , 2.6597122064696994e-66 , True             , 1.2348663815752176e-66 , True       , 1.469454257718066e-68  , True
0.50-0.56, NSD1 , CTCF          , winTrim500, reversed   ,   10, 0.3642316096169668   , 0.0                    , 0.3507341204007912    , 0.377577801613692     ,     16043, sliding_NSD1_CTCF_win10k_step10_winTrim500_reversed.csv           , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , EMAR_AND_OTHER, full      , genomic    ,   10, 0.15926960027639345  , 1.2502147607671672e-91 , 0.14415056371690657   , 0.1743142956979973    ,     16043, sliding_NSD1_EMAR_AND_OTHER_win10k_step10_full_genomic.csv        , 4.2007215961776816e-89 , True             , 2.3128973074192594e-89 , True       , 2.763632629064264e-91  , True
0.50-0.56, NSD1 , EMAR_AND_OTHER, full      , reversed   ,   10, 0.3949347309695824   , 0.0                    , 0.38179369455883994   , 0.40791612428558255   ,     16043, sliding_NSD1_EMAR_AND_OTHER_win10k_step10_full_reversed.csv       , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , EMAR_AND_OTHER, winTrim500, genomic    ,   10, 0.1492376147777183   , 1.474444571089274e-80  , 0.13407292779117      , 0.16433242203638904   ,     16043, sliding_NSD1_EMAR_AND_OTHER_win10k_step10_winTrim500_genomic.csv  , 4.954133758859961e-78  , True             , 2.5360446622735513e-78 , True       , 3.0025053083999762e-80 , True
0.50-0.56, NSD1 , EMAR_AND_OTHER, winTrim500, reversed   ,   10, 0.37385511159440704  , 0.0                    , 0.36046615392950476   , 0.3870900460710131    ,     16043, sliding_NSD1_EMAR_AND_OTHER_win10k_step10_winTrim500_reversed.csv , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , EMAR_ONLY     , full      , genomic    ,   10, 0.2728550053282054   , 7.479599121066438e-272 , 0.2584720287488501    , 0.2871170357435688    ,     16043, sliding_NSD1_EMAR_ONLY_win10k_step10_full_genomic.csv             , 2.513145304678323e-269 , True             , 1.9072977758719415e-269, True       , 3.064811347168687e-271 , True
0.50-0.56, NSD1 , EMAR_ONLY     , full      , reversed   ,   10, 0.09001979770784581  , 3.161732649956576e-30  , 0.07464947583987201   , 0.10534735760797112   ,     16043, sliding_NSD1_EMAR_ONLY_win10k_step10_full_reversed.csv            , 1.0623421703854094e-27 , True             , 3.4462885884526673e-28 , True       , 4.659395484146532e-30  , True
0.50-0.56, NSD1 , EMAR_ONLY     , winTrim500, genomic    ,   10, 0.22796901096420463  , 3.490797973356815e-188 , 0.2132469661911753    , 0.24258755204622656   ,     16043, sliding_NSD1_EMAR_ONLY_win10k_step10_winTrim500_genomic.csv       , 1.1729081190478899e-185, True             , 8.098651298187811e-186 , True       , 1.1170553514741808e-187, True
0.50-0.56, NSD1 , EMAR_ONLY     , winTrim500, reversed   ,   10, 0.07194731033384347  , 7.238081112123752e-20  , 0.056535945625842916  , 0.08732439718573184   ,     16043, sliding_NSD1_EMAR_ONLY_win10k_step10_winTrim500_reversed.csv      , 2.431995253673581e-17  , True             , 6.297130567547665e-18  , True       , 9.727981014694324e-20  , True
0.50-0.56, NSD1 , ENHANCER      , full      , genomic    ,   10, -0.006981333626659494, 0.37658592333195823    , -0.022453216122924526 , 0.008493892126182716  ,     16043, sliding_NSD1_ENHANCER_win10k_step10_full_genomic.csv              , 1.0                    , False            , 1.0                    , False      , 0.38695067351540663    , False
0.50-0.56, NSD1 , ENHANCER      , full      , reversed   ,   10, 0.01666084461601907  , 0.03483590843872531    , 0.0011868424552909957 , 0.032126869972204805  ,     16043, sliding_NSD1_ENHANCER_win10k_step10_full_reversed.csv             , 1.0                    , False            , 1.0                    , False      , 0.038126596858018585   , True
0.50-0.56, NSD1 , ENHANCER      , winTrim500, genomic    ,   10, 0.0009855727988794388, 0.9006629619093579     , -0.014488956319589423 , 0.016459629918689607  ,     16043, sliding_NSD1_ENHANCER_win10k_step10_winTrim500_genomic.csv        , 1.0                    , False            , 1.0                    , False      , 0.9006629619093579     , False
0.50-0.56, NSD1 , ENHANCER      , winTrim500, reversed   ,   10, 0.018325008384179053 , 0.020282674111500316   , 0.0028515088309216483 , 0.03378973488285659   ,     16043, sliding_NSD1_ENHANCER_win10k_step10_winTrim500_reversed.csv       , 1.0                    , False            , 0.6896109197910107     , False      , 0.022491678222653817   , True
0.50-0.56, NSD1 , OTHER_GENIC   , full      , genomic    ,   10, -0.016264144894372518, 0.03939777506738239    , -0.03173046723149928  , -0.0007900355811080138,     16043, sliding_NSD1_OTHER_GENIC_win10k_step10_full_genomic.csv           , 1.0                    , False            , 1.0                    , False      , 0.04270210458916284    , True
0.50-0.56, NSD1 , OTHER_GENIC   , full      , reversed   ,   10, 0.014934189391992758 , 0.05855270702551129    , -0.0005402436028445714, 0.0304014718724594    ,     16043, sliding_NSD1_OTHER_GENIC_win10k_step10_full_reversed.csv          , 1.0                    , False            , 1.0                    , False      , 0.062062175269942566   , False
0.50-0.56, NSD1 , OTHER_GENIC   , winTrim500, genomic    ,   10, -0.018535975717395334, 0.01888449019882188    , -0.03400053144392628  , -0.0030625460051863142,     16043, sliding_NSD1_OTHER_GENIC_win10k_step10_winTrim500_genomic.csv     , 1.0                    , False            , 0.6609571569587658     , False      , 0.021010558631801825   , True
0.50-0.56, NSD1 , OTHER_GENIC   , winTrim500, reversed   ,   10, 0.010514449671937376 , 0.18295767888611694    , -0.004960665593942416 , 0.02598453003583766   ,     16043, sliding_NSD1_OTHER_GENIC_win10k_step10_winTrim500_reversed.csv    , 1.0                    , False            , 1.0                    , False      , 0.19091236057681768    , False
0.50-0.56, NSD1 , PROMOTER      , full      , genomic    ,   10, 0.17088654105055978  , 2.1482591472994136e-105, 0.15582428701229215   , 0.18586934540878236   ,     16043, sliding_NSD1_PROMOTER_win10k_step10_full_genomic.csv              , 7.21815073492603e-103  , True             , 4.275035703125833e-103 , True       , 5.230544010815964e-105 , True
0.50-0.56, NSD1 , PROMOTER      , full      , reversed   ,   10, 0.41245941037518596  , 0.0                    , 0.39953514488532493   , 0.42521974329888      ,     16043, sliding_NSD1_PROMOTER_win10k_step10_full_reversed.csv             , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
